i,j,formula,eigvals,dopant_options
252,1,F275LiO3V94,"[0.00000000e+00+3.07111112e-05j 0.00000000e+00+2.06918166e-05j
 2.94960694e-05+0.00000000e+00j ... 8.88249943e-02+0.00000000e+00j
 9.05463287e-02+0.00000000e+00j 9.10280331e-02+0.00000000e+00j]","{'K', 'Ta', 'Rb', 'Na', 'Li', 'Re', 'Ti', 'W', 'O', 'Zr'}"
252,2,F274O6V95,"[0.00000000e+00+2.89088166e-05j 0.00000000e+00+9.57728388e-06j
 3.63656130e-05+0.00000000e+00j ... 9.14346816e-02+0.00000000e+00j
 9.16372346e-02+0.00000000e+00j 1.00199375e-01+0.00000000e+00j]","{'K', 'Ta', 'Rb', 'Na', 'Li', 'Re', 'Ti', 'W', 'O', 'Zr'}"
252,2,F281O5TiV95,"[0.        +0.00441808j 0.        +0.00404563j 0.        +0.00232246j ...
 0.09000395+0.j         0.09002707+0.j         0.09185268+0.j        ]","{'K', 'Ta', 'Rb', 'Na', 'Li', 'Re', 'Ti', 'W', 'O', 'Zr'}"
252,2,F276O6RbV93,"[0.00000000e+00+1.96319999e-05j 0.00000000e+00+1.16143227e-05j
 2.91808039e-05+0.00000000e+00j ... 8.86827122e-02+0.00000000e+00j
 9.14643160e-02+0.00000000e+00j 1.28471149e-01+0.00000000e+00j]","{'K', 'Ta', 'Rb', 'Na', 'Li', 'Re', 'Ti', 'W', 'O', 'Zr'}"
252,3,F280NaO3RbV90,"[0.00000000e+00+3.14969701e-03j 0.00000000e+00+2.95135608e-05j
 2.82935458e-05+0.00000000e+00j ... 8.73969099e-02+0.00000000e+00j
 9.15231736e-02+0.00000000e+00j 9.76261619e-02+0.00000000e+00j]","{'K', 'Ta', 'Rb', 'Na', 'Li', 'Re', 'Ti', 'W', 'O', 'Zr'}"
252,3,F278O7V94,"[0.00000000e+00+3.65541222e-05j 0.00000000e+00+2.23907934e-05j
 1.47437815e-05+0.00000000e+00j ... 8.97245627e-02+0.00000000e+00j
 9.19960165e-02+0.00000000e+00j 9.44675726e-02+0.00000000e+00j]","{'K', 'Ta', 'Rb', 'Na', 'Li', 'Re', 'Ti', 'W', 'O', 'Zr'}"
252,3,F278LiO6RbV94,"[0.00000000e+00+2.3747509e-05j 5.77721732e-06+0.0000000e+00j
 2.12122234e-05+0.0000000e+00j ... 9.27080064e-02+0.0000000e+00j
 9.30067490e-02+0.0000000e+00j 9.56824961e-02+0.0000000e+00j]","{'K', 'Ta', 'Rb', 'Na', 'Li', 'Re', 'Ti', 'W', 'O', 'Zr'}"
255,1,Be124CrLi121NaP127Se,"[0.00000000e+00+3.72859231e-05j 0.00000000e+00+2.99450623e-05j
 2.29668822e-05+0.00000000e+00j ... 7.52952303e-02+0.00000000e+00j
 7.59769941e-02+0.00000000e+00j 8.17856513e-02+0.00000000e+00j]","{'Si', 'Se', 'K', 'Ag', 'Mn', 'Cr', 'Li', 'Na', 'Br', 'F'}"
255,1,Be123BrCrFLi124P128,"[0.00000000e+00+2.51394726e-05j 0.00000000e+00+8.29799228e-06j
 3.19352239e-05+0.00000000e+00j ... 7.70817767e-02+0.00000000e+00j
 7.86339545e-02+0.00000000e+00j 8.31668671e-02+0.00000000e+00j]","{'Si', 'Se', 'K', 'Ag', 'Mn', 'Cr', 'Li', 'Na', 'Br', 'F'}"
255,2,Be121BrLi127P128,"[0.00000000e+00+3.13740876e-05j 1.65253537e-05+0.00000000e+00j
 2.02020560e-05+0.00000000e+00j ... 7.79890359e-02+0.00000000e+00j
 7.86815916e-02+0.00000000e+00j 8.30100963e-02+0.00000000e+00j]","{'Si', 'Se', 'K', 'Ag', 'Mn', 'Cr', 'Li', 'Na', 'Br', 'F'}"
255,2,Be124Li127MnNaP124,"[0.00000000e+00+3.86105526e-05j 5.69161558e-06+0.00000000e+00j
 2.23357805e-05+0.00000000e+00j ... 7.19979769e-02+0.00000000e+00j
 7.24956704e-02+0.00000000e+00j 7.35081027e-02+0.00000000e+00j]","{'Si', 'Se', 'K', 'Ag', 'Mn', 'Cr', 'Li', 'Na', 'Br', 'F'}"
255,3,Be126Li124P125,"[0.00000000e+00+3.26074634e-05j 0.00000000e+00+1.68792830e-05j
 3.68987214e-05+0.00000000e+00j ... 7.18726066e-02+0.00000000e+00j
 7.81322225e-02+0.00000000e+00j 7.92094589e-02+0.00000000e+00j]","{'Si', 'Se', 'K', 'Ag', 'Mn', 'Cr', 'Li', 'Na', 'Br', 'F'}"
255,3,Be126KLi123P126,"[0.00000000e+00+4.45835587e-05j 4.23746953e-06+0.00000000e+00j
 1.95868165e-05+0.00000000e+00j ... 7.58241377e-02+0.00000000e+00j
 7.79111765e-02+0.00000000e+00j 8.23001027e-02+0.00000000e+00j]","{'Si', 'Se', 'K', 'Ag', 'Mn', 'Cr', 'Li', 'Na', 'Br', 'F'}"
257,1,Cs91I282SeSrV95,"[0.00000000e+00+6.53260798e-06j 6.87319367e-06+0.00000000e+00j
 1.00953313e-05+0.00000000e+00j ... 2.45446065e-02+0.00000000e+00j
 2.54717996e-02+0.00000000e+00j 3.00144743e-02+0.00000000e+00j]","{'Se', 'Sr', 'Cr', 'Li', 'Ti', 'O', 'Co', 'S', 'Ba'}"
257,1,CoCs95I275O9S2SeV93,"[0.        +1.60292015e-03j 0.        +6.04145324e-04j
 0.        +1.02878478e-05j ... 0.12448275+0.00000000e+00j
 0.12448684+0.00000000e+00j 0.12460934+0.00000000e+00j]","{'Se', 'Sr', 'Cr', 'Li', 'Ti', 'O', 'Co', 'S', 'Ba'}"
257,2,Ba2CrCs89I278LiO3SSrTi2V88,"[0.        +0.00076853j 0.        +0.00045237j 0.        +0.00026491j ...
 0.12262508+0.j         0.12364799+0.j         0.12414202+0.j        ]","{'Se', 'Sr', 'Cr', 'Li', 'Ti', 'O', 'Co', 'S', 'Ba'}"
257,2,Cs94I282SSrV95,"[0.00000000e+00+1.24074887e-05j 0.00000000e+00+5.83817290e-06j
 7.17367857e-06+0.00000000e+00j ... 2.51327955e-02+0.00000000e+00j
 3.30563036e-02+0.00000000e+00j 4.99083170e-02+0.00000000e+00j]","{'Se', 'Sr', 'Cr', 'Li', 'Ti', 'O', 'Co', 'S', 'Ba'}"
257,3,BaCs91I279Se4Sr2V94,"[0.        +2.08144357e-03j 0.        +1.97339301e-03j
 0.        +8.15787716e-06j ... 0.02939431+0.00000000e+00j
 0.02952742+0.00000000e+00j 0.0298891 +0.00000000e+00j]","{'Se', 'Sr', 'Cr', 'Li', 'Ti', 'O', 'Co', 'S', 'Ba'}"
257,3,Cs94I284OSSeSrV96,"[0.00000000e+00+3.80436649e-06j 7.45763711e-06+0.00000000e+00j
 1.25826528e-05+0.00000000e+00j ... 3.39083749e-02+0.00000000e+00j
 5.03183247e-02+0.00000000e+00j 1.23878630e-01+0.00000000e+00j]","{'Se', 'Sr', 'Cr', 'Li', 'Ti', 'O', 'Co', 'S', 'Ba'}"
258,1,Cu102F242Ge2Na36O5,"[0.        +6.41184127e-03j 0.        +4.64002926e-03j
 0.        +2.92687402e-05j ... 0.07086053+0.00000000e+00j
 0.07223295+0.00000000e+00j 0.07734002+0.00000000e+00j]","{'Cu', 'Li', 'Na', 'W', 'F', 'Ca', 'O', 'Er', 'Ge', 'Sb'}"
258,1,CaCu106F242Na35O4,"[0.00000000e+00+1.81523463e-05j 0.00000000e+00+1.08231213e-05j
 1.44888524e-05+0.00000000e+00j ... 6.15478886e-02+0.00000000e+00j
 6.21632199e-02+0.00000000e+00j 7.84825547e-02+0.00000000e+00j]","{'Cu', 'Li', 'Na', 'W', 'F', 'Ca', 'O', 'Er', 'Ge', 'Sb'}"
258,1,Cu105F243Na34O4Sb,"[0.        +6.27820903e-03j 0.        +1.16231030e-03j
 0.        +3.16330620e-05j ... 0.06719575+0.00000000e+00j
 0.07205461+0.00000000e+00j 0.07330115+0.00000000e+00j]","{'Cu', 'Li', 'Na', 'W', 'F', 'Ca', 'O', 'Er', 'Ge', 'Sb'}"
258,2,CaCu108F237Na35O6,"[0.00000000e+00+2.01787081e-05j 6.45678799e-06+0.00000000e+00j
 2.17570407e-05+0.00000000e+00j ... 6.48144848e-02+0.00000000e+00j
 6.67513140e-02+0.00000000e+00j 7.41497687e-02+0.00000000e+00j]","{'Cu', 'Li', 'Na', 'W', 'F', 'Ca', 'O', 'Er', 'Ge', 'Sb'}"
258,2,CaCu108F243Na34O8Sb,"[0.00000000e+00+2.84373660e-05j 0.00000000e+00+1.52800733e-05j
 2.19988672e-05+0.00000000e+00j ... 6.57215775e-02+0.00000000e+00j
 7.07928980e-02+0.00000000e+00j 7.15640914e-02+0.00000000e+00j]","{'Cu', 'Li', 'Na', 'W', 'F', 'Ca', 'O', 'Er', 'Ge', 'Sb'}"
258,2,Cu107F241GeNa36O5,"[0.00000000e+00+2.64183083e-05j 1.58619314e-05+0.00000000e+00j
 1.92640651e-05+0.00000000e+00j ... 7.08919014e-02+0.00000000e+00j
 7.27940030e-02+0.00000000e+00j 7.73752864e-02+0.00000000e+00j]","{'Cu', 'Li', 'Na', 'W', 'F', 'Ca', 'O', 'Er', 'Ge', 'Sb'}"
258,3,Cu107F248Na36Sb,"[0.        +1.00116677e-03j 0.        +1.75793352e-05j
 0.        +1.27013059e-05j ... 0.05628794+0.00000000e+00j
 0.05636872+0.00000000e+00j 0.0568056 +0.00000000e+00j]","{'Cu', 'Li', 'Na', 'W', 'F', 'Ca', 'O', 'Er', 'Ge', 'Sb'}"
258,3,Cu103F244Li2Na36O6,"[0.        +4.33020779e-03j 0.        +3.48875765e-03j
 0.        +2.93564602e-05j ... 0.06556828+0.00000000e+00j
 0.07253534+0.00000000e+00j 0.07731204+0.00000000e+00j]","{'Cu', 'Li', 'Na', 'W', 'F', 'Ca', 'O', 'Er', 'Ge', 'Sb'}"
258,3,Cu105F250LiNa36O,"[0.00000000e+00+3.41535906e-05j 0.00000000e+00+1.31283400e-05j
 1.69548043e-05+0.00000000e+00j ... 5.73747478e-02+0.00000000e+00j
 6.66735988e-02+0.00000000e+00j 7.17833424e-02+0.00000000e+00j]","{'Cu', 'Li', 'Na', 'W', 'F', 'Ca', 'O', 'Er', 'Ge', 'Sb'}"
259,1,ClFKMn54Mo52O319Te54,"[0.00000000e+00+3.31533901e-05j 0.00000000e+00+1.40958777e-05j
 2.94055105e-05+0.00000000e+00j ... 1.14623211e-01+0.00000000e+00j
 1.15312372e-01+0.00000000e+00j 1.16028838e-01+0.00000000e+00j]","{'K', 'Mg', 'Na', 'W', 'Sc', 'Cl', 'F', 'Ir', 'Sb'}"
259,1,F2Mn53Mo51NaO317Te53,"[0.        +5.85495560e-03j 0.        +3.24459291e-05j
 0.        +2.62231837e-05j ... 0.11627715+0.00000000e+00j
 0.11803211+0.00000000e+00j 0.11917615+0.00000000e+00j]","{'K', 'Mg', 'Na', 'W', 'Sc', 'Cl', 'F', 'Ir', 'Sb'}"
259,2,Cl3F6Mn53Mo54O316Te51,"[0.        +5.14358648e-03j 0.        +1.98387429e-05j
 0.        +1.72915342e-05j ... 0.11667853+0.00000000e+00j
 0.11825201+0.00000000e+00j 0.11925719+0.00000000e+00j]","{'K', 'Mg', 'Na', 'W', 'Sc', 'Cl', 'F', 'Ir', 'Sb'}"
259,2,Cl3F6Mn53Mo52NaO309Te53,"[0.        +6.06170877e-03j 0.        +4.31643913e-03j
 0.        +2.12739351e-05j ... 0.11718156+0.00000000e+00j
 0.11770499+0.00000000e+00j 0.11771   +0.00000000e+00j]","{'K', 'Mg', 'Na', 'W', 'Sc', 'Cl', 'F', 'Ir', 'Sb'}"
259,3,Cl5F3Mn52Mo51NaO314SbTe50,"[0.00000000e+00+7.72722127e-03j 0.00000000e+00+2.44833190e-05j
 4.87889272e-06+0.00000000e+00j ... 1.16464907e-01+0.00000000e+00j
 1.18299543e-01+0.00000000e+00j 1.19141623e-01+0.00000000e+00j]","{'K', 'Mg', 'Na', 'W', 'Sc', 'Cl', 'F', 'Ir', 'Sb'}"
260,1,H106Cl2CsFIn106MgO212Sb,"[0.        +3.93048792e-02j 0.        +5.14091544e-03j
 0.        +4.16205346e-05j ... 0.42562685+0.00000000e+00j
 0.43109162+0.00000000e+00j 0.43587112+0.00000000e+00j]","{'Si', 'Cs', 'K', 'Mg', 'Na', 'Li', 'W', 'Cl', 'F', 'Sb'}"
260,1,H106ClIn104O213,"[0.        +9.13247312e-03j 0.        +7.30512191e-03j
 0.        +4.56426876e-05j ... 0.43741331+0.00000000e+00j
 0.44968418+0.00000000e+00j 0.45024401+0.00000000e+00j]","{'Si', 'Cs', 'K', 'Mg', 'Na', 'Li', 'W', 'Cl', 'F', 'Sb'}"
260,2,H104F3In105O211,"[0.00000000e+00+1.51601594e-05j 2.74176676e-05+0.00000000e+00j
 4.87903928e-05+0.00000000e+00j ... 4.42528732e-01+0.00000000e+00j
 4.48904821e-01+0.00000000e+00j 4.49145438e-01+0.00000000e+00j]","{'Si', 'Cs', 'K', 'Mg', 'Na', 'Li', 'W', 'Cl', 'F', 'Sb'}"
260,2,H105ClF2In105O209,"[0.00000000e+00+3.61231540e-05j 0.00000000e+00+7.90906415e-06j
 3.78801837e-05+0.00000000e+00j ... 4.45937171e-01+0.00000000e+00j
 4.48284562e-01+0.00000000e+00j 4.55649187e-01+0.00000000e+00j]","{'Si', 'Cs', 'K', 'Mg', 'Na', 'Li', 'W', 'Cl', 'F', 'Sb'}"
260,3,H105Cl3FIn104O207,"[0.00000000e+00+3.36399088e-05j 0.00000000e+00+2.37260582e-05j
 8.62813356e-06+0.00000000e+00j ... 4.43375964e-01+0.00000000e+00j
 4.45920013e-01+0.00000000e+00j 4.47708233e-01+0.00000000e+00j]","{'Si', 'Cs', 'K', 'Mg', 'Na', 'Li', 'W', 'Cl', 'F', 'Sb'}"
260,3,H105ClF3In107O208,"[0.00000000e+00+2.52043487e-03j 0.00000000e+00+2.78572684e-05j
 2.68028738e-05+0.00000000e+00j ... 4.34404482e-01+0.00000000e+00j
 4.37655098e-01+0.00000000e+00j 4.39848931e-01+0.00000000e+00j]","{'Si', 'Cs', 'K', 'Mg', 'Na', 'Li', 'W', 'Cl', 'F', 'Sb'}"
264,1,Cs3Ga72I212Li72,"[0.        +0.00479245j 0.        +0.00370533j 0.        +0.0032441j  ...
 0.03624152+0.j         0.03704292+0.j         0.03810239+0.j        ]","{'Si', 'Se', 'K', 'Cs', 'Ho', 'F', 'Er', 'O', 'S'}"
264,1,CsGa68I209Li71OSe2,"[0.        +1.76032187e-03j 0.        +1.48049474e-03j
 0.        +9.30542750e-06j ... 0.05951155+0.00000000e+00j
 0.07813801+0.00000000e+00j 0.08184101+0.00000000e+00j]","{'Si', 'Se', 'K', 'Cs', 'Ho', 'F', 'Er', 'O', 'S'}"
264,2,FGa69I214Li71O3Si,"[0.        +0.00983261j 0.        +0.00955958j 0.        +0.00810755j ...
 0.07756509+0.j         0.08149026+0.j         0.08203707+0.j        ]","{'Si', 'Se', 'K', 'Cs', 'Ho', 'F', 'Er', 'O', 'S'}"
264,2,Ga71I208KLi70O2SSi,"[0.        +0.00790456j 0.        +0.00393405j 0.        +0.00071404j ...
 0.06787538+0.j         0.07497199+0.j         0.08436867+0.j        ]","{'Si', 'Se', 'K', 'Cs', 'Ho', 'F', 'Er', 'O', 'S'}"
267,1,Br2ClI2N2P106S311Zr52,"[0.        +2.15890132e-03j 0.        +9.17349529e-04j
 0.        +2.04746383e-05j ... 0.07771012+0.00000000e+00j
 0.10287395+0.00000000e+00j 0.1042443 +0.00000000e+00j]","{'Si', 'I', 'Cr', 'Y', 'Br', 'N', 'Cl', 'Ge', 'B', 'S'}"
267,1,BrP104S316Zr51,"[0.        +2.96203834e-03j 0.        +1.63841228e-03j
 0.        +1.08585683e-05j ... 0.07520528+0.00000000e+00j
 0.0755126 +0.00000000e+00j 0.07610199+0.00000000e+00j]","{'Si', 'I', 'Cr', 'Y', 'Br', 'N', 'Cl', 'Ge', 'B', 'S'}"
267,2,ClGeI5N2P104S313Zr51,"[0.        +1.43268771e-03j 0.        +3.22916198e-05j
 0.        +1.09480208e-05j ... 0.10044439+0.00000000e+00j
 0.10782147+0.00000000e+00j 0.11433973+0.00000000e+00j]","{'Si', 'I', 'Cr', 'Y', 'Br', 'N', 'Cl', 'Ge', 'B', 'S'}"
267,2,BrN2P106S311Zr53,"[0.        +3.42758917e-03j 0.        +2.11979250e-05j
 0.        +1.93424273e-05j ... 0.07985832+0.00000000e+00j
 0.08505089+0.00000000e+00j 0.12089921+0.00000000e+00j]","{'Si', 'I', 'Cr', 'Y', 'Br', 'N', 'Cl', 'Ge', 'B', 'S'}"
267,2,Br2ClN2P104S316Zr51,"[0.        +2.86218099e-03j 0.        +1.11306039e-03j
 0.        +1.96406890e-05j ... 0.07646237+0.00000000e+00j
 0.10737906+0.00000000e+00j 0.12227374+0.00000000e+00j]","{'Si', 'I', 'Cr', 'Y', 'Br', 'N', 'Cl', 'Ge', 'B', 'S'}"
267,3,BrGeI3N2P106S316Zr53,"[0.        +1.62206215e-03j 0.        +2.85436243e-05j
 0.        +1.65095498e-05j ... 0.07740671+0.00000000e+00j
 0.08236274+0.00000000e+00j 0.10209856+0.00000000e+00j]","{'Si', 'I', 'Cr', 'Y', 'Br', 'N', 'Cl', 'Ge', 'B', 'S'}"
267,3,BrI2P106S318Zr53,"[0.        +3.53747871e-03j 0.        +1.22235754e-03j
 0.        +1.37252460e-05j ... 0.07433382+0.00000000e+00j
 0.0751468 +0.00000000e+00j 0.07851454+0.00000000e+00j]","{'Si', 'I', 'Cr', 'Y', 'Br', 'N', 'Cl', 'Ge', 'B', 'S'}"
267,3,BrCl2N3P106S315YZr53,"[0.        +1.76545125e-03j 0.        +2.10516998e-05j
 0.        +6.38304663e-06j ... 0.07474419+0.00000000e+00j
 0.11918443+0.00000000e+00j 0.11965115+0.00000000e+00j]","{'Si', 'I', 'Cr', 'Y', 'Br', 'N', 'Cl', 'Ge', 'B', 'S'}"
271,1,Ag134Ba54ClInS158Y26,"[0.00000000e+00+9.03885727e-06j 0.00000000e+00+2.31544507e-06j
 1.27299596e-05+0.00000000e+00j ... 3.58938136e-02+0.00000000e+00j
 3.60501013e-02+0.00000000e+00j 3.62254143e-02+0.00000000e+00j]","{'V', 'Cs', 'K', 'Rb', 'Na', 'Re', 'Ru', 'Cl', 'In'}"
271,1,Ag132Ba51Cl3Cs2In3S157V2Y25,"[0.        +1.32894872e-03j 0.        +5.51878930e-04j
 0.        +1.06781715e-05j ... 0.03908028+0.00000000e+00j
 0.04318005+0.00000000e+00j 0.0449397 +0.00000000e+00j]","{'V', 'Cs', 'K', 'Rb', 'Na', 'Re', 'Ru', 'Cl', 'In'}"
271,2,Ag131Ba53Cl4In2S157Y26,"[0.        +1.07667032e-05j 0.        +9.33393535e-06j
 0.        +1.99039209e-06j ... 0.03601849+0.00000000e+00j
 0.0362253 +0.00000000e+00j 0.03662342+0.00000000e+00j]","{'V', 'Cs', 'K', 'Rb', 'Na', 'Re', 'Ru', 'Cl', 'In'}"
271,2,Ag128Ba53Cl4In5KS154Y26,"[0.        +0.00188342j 0.        +0.00176549j 0.        +0.00111296j ...
 0.0366345 +0.j         0.0368561 +0.j         0.03786179+0.j        ]","{'V', 'Cs', 'K', 'Rb', 'Na', 'Re', 'Ru', 'Cl', 'In'}"
271,3,Ag127Ba52Cl4In4NaRbS156Y26,"[0.        +1.46186869e-03j 0.        +7.63350095e-04j
 0.        +1.15822988e-05j ... 0.03588729+0.00000000e+00j
 0.03620168+0.00000000e+00j 0.03709798+0.00000000e+00j]","{'V', 'Cs', 'K', 'Rb', 'Na', 'Re', 'Ru', 'Cl', 'In'}"
271,3,Ag130Ba50Cl3CsIn3K2RbS157Y27,"[0.        +1.23904341e-03j 0.        +1.11955712e-05j
 0.        +6.45127540e-06j ... 0.03616283+0.00000000e+00j
 0.03648919+0.00000000e+00j 0.03707758+0.00000000e+00j]","{'V', 'Cs', 'K', 'Rb', 'Na', 'Re', 'Ru', 'Cl', 'In'}"
275,1,Cl2K188Ni93O186,"[0.        +5.15397295e-03j 0.        +5.03049707e-03j
 0.        +1.38570923e-05j ... 0.08882166+0.00000000e+00j
 0.08967122+0.00000000e+00j 0.09277721+0.00000000e+00j]","{'K', 'Na', 'Li', 'Fe', 'Cl', 'F', 'O', 'Sr', 'Ba'}"
275,1,Ba3Cl2F2K185LiNi90O190,"[0.00000000e+00+2.61826247e-05j 0.00000000e+00+2.24704363e-05j
 2.81475541e-05+0.00000000e+00j ... 9.48152257e-02+0.00000000e+00j
 1.14604398e-01+0.00000000e+00j 1.34933465e-01+0.00000000e+00j]","{'K', 'Na', 'Li', 'Fe', 'Cl', 'F', 'O', 'Sr', 'Ba'}"
275,2,BaCl3F3Fe2K187NaNi91O187,"[0.00000000e+00+2.51227648e-05j 4.36110345e-06+0.00000000e+00j
 1.59636093e-05+0.00000000e+00j ... 8.86708688e-02+0.00000000e+00j
 9.11237929e-02+0.00000000e+00j 9.47774859e-02+0.00000000e+00j]","{'K', 'Na', 'Li', 'Fe', 'Cl', 'F', 'O', 'Sr', 'Ba'}"
275,2,ClFK188Ni95O192,"[0.00000000e+00+2.95760731e-03j 0.00000000e+00+2.75916973e-05j
 1.20429638e-05+0.00000000e+00j ... 8.98761638e-02+0.00000000e+00j
 9.04993425e-02+0.00000000e+00j 9.09826437e-02+0.00000000e+00j]","{'K', 'Na', 'Li', 'Fe', 'Cl', 'F', 'O', 'Sr', 'Ba'}"
275,3,ClK189Ni96O192,"[0.        +8.98268990e-04j 0.        +1.51853810e-05j
 0.        +5.97391962e-06j ... 0.08650136+0.00000000e+00j
 0.08701327+0.00000000e+00j 0.08751732+0.00000000e+00j]","{'K', 'Na', 'Li', 'Fe', 'Cl', 'F', 'O', 'Sr', 'Ba'}"
279,1,Cl286MoN70V72,"[0.00000000e+00+3.22946558e-05j 0.00000000e+00+1.41182180e-05j
 1.38439155e-05+0.00000000e+00j ... 1.37269249e-01+0.00000000e+00j
 1.41842870e-01+0.00000000e+00j 1.50395334e-01+0.00000000e+00j]","{'Mo', 'Se', 'Mn', 'I', 'As', 'W', 'Te', 'Tc', 'Ge', 'Al'}"
279,2,Cl288N72V71,"[0.00000000e+00+3.23763774e-05j 0.00000000e+00+2.25289953e-05j
 2.53579880e-05+0.00000000e+00j ... 1.33722120e-01+0.00000000e+00j
 1.33761953e-01+0.00000000e+00j 1.34130803e-01+0.00000000e+00j]","{'Mo', 'Se', 'Mn', 'I', 'As', 'W', 'Te', 'Tc', 'Ge', 'Al'}"
279,2,AlCl286N72V70,"[0.00000000e+00+3.74231588e-05j 0.00000000e+00+9.57014817e-06j
 3.06138023e-05+0.00000000e+00j ... 1.34105970e-01+0.00000000e+00j
 1.35377022e-01+0.00000000e+00j 1.38955345e-01+0.00000000e+00j]","{'Mo', 'Se', 'Mn', 'I', 'As', 'W', 'Te', 'Tc', 'Ge', 'Al'}"
279,3,Cl281N70V70,"[0.        +6.06432779e-03j 0.        +7.78429431e-04j
 0.        +3.99935944e-05j ... 0.13965246+0.00000000e+00j
 0.14284862+0.00000000e+00j 0.14626142+0.00000000e+00j]","{'Mo', 'Se', 'Mn', 'I', 'As', 'W', 'Te', 'Tc', 'Ge', 'Al'}"
280,1,Br142CoFe2In138LiSnTe142Zn,"[0.00000000e+00+5.62925062e-06j 2.66897360e-06+0.00000000e+00j
 5.85450266e-06+0.00000000e+00j ... 2.84869923e-02+0.00000000e+00j
 3.37689328e-02+0.00000000e+00j 3.98205656e-02+0.00000000e+00j]","{'Hf', 'Mn', 'Zn', 'Pb', 'Sn', 'Li', 'Te', 'Fe', 'Co', 'Zr'}"
280,1,Br142Co2Fe2In139Te145,"[0.00000000e+00+5.40830666e-06j 0.00000000e+00+4.66050026e-06j
 6.59071417e-06+0.00000000e+00j ... 2.80804282e-02+0.00000000e+00j
 3.36799012e-02+0.00000000e+00j 3.36927817e-02+0.00000000e+00j]","{'Hf', 'Mn', 'Zn', 'Pb', 'Sn', 'Li', 'Te', 'Fe', 'Co', 'Zr'}"
280,2,Br143In140Te142,"[0.00000000e+00+8.68970053e-04j 0.00000000e+00+7.58152096e-06j
 4.06688115e-06+0.00000000e+00j ... 2.50773955e-02+0.00000000e+00j
 2.50937129e-02+0.00000000e+00j 2.53789391e-02+0.00000000e+00j]","{'Hf', 'Mn', 'Zn', 'Pb', 'Sn', 'Li', 'Te', 'Fe', 'Co', 'Zr'}"
280,2,Br142In140MnSnTe140,"[0.        +9.55620481e-04j 0.        +7.76082800e-04j
 0.        +1.10583025e-05j ... 0.02525212+0.00000000e+00j
 0.02545549+0.00000000e+00j 0.02671598+0.00000000e+00j]","{'Hf', 'Mn', 'Zn', 'Pb', 'Sn', 'Li', 'Te', 'Fe', 'Co', 'Zr'}"
280,3,Br144In143Te143,"[0.00000000e+00+6.26583967e-06j 4.77622238e-06+0.00000000e+00j
 6.42403605e-06+0.00000000e+00j ... 2.45367610e-02+0.00000000e+00j
 2.45525756e-02+0.00000000e+00j 2.47587077e-02+0.00000000e+00j]","{'Hf', 'Mn', 'Zn', 'Pb', 'Sn', 'Li', 'Te', 'Fe', 'Co', 'Zr'}"
280,3,Br140CoIn139MnTe138Zn,"[0.00000000e+00+9.50759447e-06j 5.38308662e-06+0.00000000e+00j
 7.04124742e-06+0.00000000e+00j ... 2.53528556e-02+0.00000000e+00j
 2.56392772e-02+0.00000000e+00j 2.74894541e-02+0.00000000e+00j]","{'Hf', 'Mn', 'Zn', 'Pb', 'Sn', 'Li', 'Te', 'Fe', 'Co', 'Zr'}"
284,1,ClMn95O280Y96,"[0.        +1.28221079e-03j 0.        +4.46297266e-05j
 0.        +1.71536509e-05j ... 0.08709413+0.00000000e+00j
 0.08882964+0.00000000e+00j 0.08940405+0.00000000e+00j]","{'Se', 'K', 'Mn', 'Mg', 'Na', 'Re', 'Cl', 'Ca', 'F', 'Zr'}"
284,1,Cl8FKMn94O276SeY94,"[0.        +4.82510768e-03j 0.        +2.66907410e-03j
 0.        +2.55163007e-05j ... 0.08934193+0.00000000e+00j
 0.09154329+0.00000000e+00j 0.09438975+0.00000000e+00j]","{'Se', 'K', 'Mn', 'Mg', 'Na', 'Re', 'Cl', 'Ca', 'F', 'Zr'}"
284,2,F3MgMn93O284Y95,"[0.00000000e+00+1.05845779e-03j 0.00000000e+00+3.80090798e-05j
 2.23330506e-05+0.00000000e+00j ... 8.59623693e-02+0.00000000e+00j
 8.60047462e-02+0.00000000e+00j 8.71244482e-02+0.00000000e+00j]","{'Se', 'K', 'Mn', 'Mg', 'Na', 'Re', 'Cl', 'Ca', 'F', 'Zr'}"
284,2,Cl3FKMgMn94O282Y95,"[0.        +3.66589940e-03j 0.        +2.62959599e-03j
 0.        +1.51970508e-05j ... 0.0891625 +0.00000000e+00j
 0.09035343+0.00000000e+00j 0.09176267+0.00000000e+00j]","{'Se', 'K', 'Mn', 'Mg', 'Na', 'Re', 'Cl', 'Ca', 'F', 'Zr'}"
284,3,CaCl2FMg2Mn94NaO282Y93,"[0.        +0.00729771j 0.        +0.00575143j 0.        +0.00388003j ...
 0.08674821+0.j         0.08739769+0.j         0.08838301+0.j        ]","{'Se', 'K', 'Mn', 'Mg', 'Na', 'Re', 'Cl', 'Ca', 'F', 'Zr'}"
284,3,F2KMn94O285Y94Zr2,"[0.        +0.00725824j 0.        +0.00413865j 0.        +0.00303216j ...
 0.08779827+0.j         0.08820714+0.j         0.08943735+0.j        ]","{'Se', 'K', 'Mn', 'Mg', 'Na', 'Re', 'Cl', 'Ca', 'F', 'Zr'}"
