,Unnamed: 0,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
5466,5466,413149,As1K1O2_413149.json,"['F', 'Ba', 'Sr', 'Cl', 'Ca']","['O', 'K', 'K', 'O', 'K']","['Rb', 'Na', 'Li', 'Cs', 'Tl']","['As', 'As', 'As', 'As', 'As']"
5467,5467,41322,Cs1Na1Se1_41322.json,"['Ba', 'Sr', 'Ca', 'Sb', 'Er']","['Cs', 'Cs', 'Na', 'Na', 'Na']","['N', 'F', 'O', 'Cl', 'Cl']","['Se', 'Na', 'Na', 'Na', 'Cs']"
5469,5469,157935,Mn1O3Sr1_157935.json,"['F', 'La', 'Ta', 'Cl', 'Nb']","['O', 'Sr', 'Mn', 'O', 'Mn']","['Cs', 'Rb', 'K', 'Rh', 'Ni']","['Sr', 'Sr', 'Sr', 'Mn', 'Mn']"
5474,5474,60850,Ga1I4Li1_60850.json,"['Si', 'Er', 'Ho', 'K', 'Cs']","['Li', 'Li', 'Li', 'I', 'I']","['O', 'S', 'Cs', 'O', 'Ba']","['I', 'I', 'Ga', 'Li', 'Ga']"
5476,5476,610533,As1Ga1_610533.json,"['Nb', 'Te', 'Ti', 'I', 'W']","['Ga', 'Ga', 'Ga', 'Ga', 'Ga']","['Ni', 'Mg', 'Cu', 'Co', 'Li']","['Ga', 'Ga', 'Ga', 'Ga', 'Ga']"
5477,5477,247316,Na1Nb1O3_247316.json,"['F', 'Ca', 'Sb', 'Cl', 'Er']","['O', 'Na', 'Na', 'O', 'Na']","['Na', 'Ti', 'Rb', 'Ca', 'Sn']","['Nb', 'Nb', 'Nb', 'Nb', 'Nb']"
5478,5478,262056,Ba2Br1N1_262056.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['Cs', 'O', 'Rb', 'K', 'S']","['Ba', 'Br', 'Ba', 'Ba', 'Br']"
5480,5480,65459,K2Mn1Te2_65459.json,"['Te', 'Pb', 'Ba', 'In', 'Zr']","['Mn', 'Mn', 'K', 'Mn', 'Mn']","['O', 'F', 'Li', 'Na', 'Ag']","['K', 'K', 'Mn', 'Mn', 'Mn']"
5481,5481,409785,Ca1Mo1O4_409785.json,"['F', 'La', 'Cl', 'Nd', 'Pr']","['O', 'Ca', 'O', 'Ca', 'Ca']","['Na', 'Na', 'K', 'Sb', 'K']","['Mo', 'Ca', 'Mo', 'Mo', 'Ca']"
5483,5483,189286,Cu2S4Sn1Zn1_189286.json,"['Zn', 'Hg', 'Si', 'Ge', 'Ta']","['Cu', 'Cu', 'Zn', 'Zn', 'Sn']","['Na', 'Cu', 'Co', 'Cd', 'Li']","['Zn', 'Zn', 'Sn', 'Sn', 'Sn']"
5485,5485,69630,In1Na5O4_69630.json,"['F', 'Ca', 'Sb', 'Cl', 'Er']","['O', 'Na', 'Na', 'O', 'Na']","['Na', 'K', 'Cs', 'Mg', 'Li']","['In', 'In', 'In', 'In', 'In']"
5486,5486,16985,Co1O4S1_16985.json,"['F', 'Cr', 'Cl', 'Cl', 'Se']","['O', 'Co', 'S', 'O', 'Co']","['V', 'Zn', 'Mn', 'Mg', 'Cd']","['Co', 'Co', 'Co', 'Co', 'Co']"
5487,5487,188894,C1O2_188894.json,"['F', 'N', 'Cl', 'Br', 'S']","['O', 'C', 'O', 'O', 'C']","['B', 'Al', 'Ag', 'La', 'Cu']","['C', 'C', 'C', 'C', 'C']"
5489,5489,412835,Br4I2Pd1Rb2_412835.json,"['Ba', 'Sr', 'K', 'K', 'Cs']","['Rb', 'Rb', 'Br', 'I', 'I']","['O', 'O', 'S', 'S', 'Cd']","['Br', 'I', 'I', 'Br', 'Pd']"
5490,5490,29214,Cu1O2Rh1_29214.json,"['F', 'Re', 'Zn', 'Sb', 'Hg']","['O', 'Rh', 'Cu', 'Rh', 'Cu']","['Na', 'K', 'Rb', 'Tl', 'Li']","['Rh', 'Rh', 'Rh', 'Rh', 'Rh']"
5494,5494,190613,Ba2Fe1Mo1O6_190613.json,"['F', 'W', 'Sn', 'Cl', 'Cr']","['O', 'Fe', 'Fe', 'O', 'Fe']","['Cs', 'Na', 'Rb', 'K', 'Na']","['Ba', 'Mo', 'Ba', 'Ba', 'Fe']"
5495,5495,73711,S3Sn1Zr1_73711.json,"['Mn', 'Co', 'Cr', 'Fe', 'Sn']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']","['Cs', 'Rb', 'K', 'Fe', 'Mn']","['Sn', 'Sn', 'Sn', 'Zr', 'Zr']"
5499,5499,190429,In1P1_190429.json,"['Zr', 'Pb', 'Te', 'Hf', 'Sn']","['In', 'In', 'In', 'In', 'In']","['Fe', 'Zn', 'Li', 'Mn', 'Co']","['In', 'In', 'In', 'In', 'In']"
5501,5501,193723,Mn1S2_193723.json,"['Ta', 'Nb', 'Cl', 'Sb', 'Br']","['Mn', 'Mn', 'S', 'Mn', 'S']","['Rh', 'Ni', 'N', 'Mn', 'Mn']","['Mn', 'Mn', 'S', 'Mn', 'Mn']"
5503,5503,616419,Be1Se1_616419.json,"['Si', 'Ge', 'S', 'Al', 'P']","['Be', 'Be', 'Be', 'Be', 'Be']","['Ag', 'N', 'O', 'Li', 'N']","['Be', 'Se', 'Be', 'Be', 'Be']"
5505,5505,193341,Sb2Te3_193341.json,"['Li', 'Sb', 'Np', 'Np', 'Pb']","['Te', 'Te', 'Sb', 'Te', 'Sb']","['Li', 'Zn', 'Cu', 'Ge', 'Mg']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
5509,5509,33546,K1O3Sb1_33546.json,"['F', 'Ba', 'Mo', 'Sr', 'Cl']","['O', 'K', 'Sb', 'K', 'O']","['Na', 'K', 'Fe', 'Ca', 'Mg']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
5510,5510,402887,Rb1Sb2Se4_402887.json,"['Pb', 'Ba', 'Zr', 'Sn', 'Pb']","['Sb', 'Rb', 'Sb', 'Sb', 'Rb']","['Sb', 'Mn', 'Cd', 'Zn', 'Co']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
5511,5511,23137,Cl9P1Ti1_23137.json,"['Ta', 'Nb', 'Sb', 'Cr', 'K']","['Ti', 'Ti', 'Ti', 'P', 'Cl']","['O', 'S', 'Si', 'Na', 'Zn']","['Cl', 'Cl', 'P', 'Ti', 'Ti']"
5513,5513,194590,Ag2Fe1K1O8V2_194590.json,"['F', 'Ba', 'Cr', 'Sr', 'Cl']","['O', 'K', 'V', 'K', 'O']","['Si', 'Na', 'Y', 'O', 'K']","['V', 'Fe', 'V', 'Ag', 'Fe']"
5514,5514,29005,F6Ni1Rb2_29005.json,"['Ba', 'Sr', 'Ru', 'I', 'Er']","['Rb', 'Rb', 'Ni', 'Ni', 'Rb']","['O', 'Sr', 'Cd', 'Pb', 'Cr']","['F', 'Ni', 'Ni', 'Ni', 'Ni']"
5519,5519,164948,Cr1O6Te1Y1_164948.json,"['Cr', 'F', 'Re', 'Cl', 'V']","['Cr', 'O', 'Y', 'O', 'Y']","['Si', 'Na', 'Dy', 'Th', 'B']","['Cr', 'Y', 'Cr', 'Cr', 'Cr']"
5521,5521,9532,K1Nb1O3_9532.json,"['F', 'Ba', 'Sr', 'Cl', 'W']","['O', 'K', 'K', 'O', 'Nb']","['Na', 'Ti', 'Rb', 'Ca', 'Sn']","['Nb', 'Nb', 'Nb', 'Nb', 'Nb']"
5524,5524,374,Ag1N1O3_374.json,"['F', 'Cl', 'In', 'Ga', 'Ba']","['O', 'O', 'Ag', 'Ag', 'Ag']","['B', 'C', 'La', 'Ge', 'Sc']","['N', 'N', 'N', 'N', 'N']"
5528,5528,948,F4O2Sn4_948.json,"['F', 'Mn', 'Cl', 'Co', 'Cr']","['O', 'Sn', 'O', 'Sn', 'Sn']","['O', 'Cs', 'Rb', 'K', 'O']","['F', 'Sn', 'Sn', 'Sn', 'Sn']"
5529,5529,150293,Br3Cu1K2_150293.json,"['Ba', 'Zn', 'Hg', 'Sr', 'K']","['K', 'Cu', 'Cu', 'K', 'Br']","['O', 'S', 'O', 'O', 'Se']","['Br', 'Br', 'Cu', 'K', 'Br']"
5530,5530,404297,Ba1Cu1O7Te2_404297.json,"['K', 'Zr', 'Sn', 'F', 'F']","['O', 'Cu', 'Cu', 'O', 'O']","['K', 'N', 'Rb', 'Cs', 'Na']","['Ba', 'O', 'Ba', 'Ba', 'Cu']"
5531,5531,36652,Ga1Na1O2_36652.json,"['F', 'Ca', 'Sb', 'Cl', 'Er']","['O', 'Na', 'Na', 'O', 'Na']","['Cs', 'Ba', 'Li', 'Na', 'Ag']","['Ga', 'Ga', 'Ga', 'Ga', 'Ga']"
5532,5532,415857,Cl2Cu3H6Ni1O6_415857.json,"['F', 'Ge', 'Cl', 'Fe', 'Cr']","['O', 'Cu', 'O', 'Ni', 'Ni']","['O', 'Na', 'S', 'Cu', 'Li']","['Cl', 'Ni', 'Cl', 'Cu', 'Ni']"
5533,5533,246090,Ca2Mn1O6Sb1_246090.json,"['F', 'Mo', 'La', 'Zr', 'Se']","['O', 'Sb', 'Ca', 'Mn', 'Mn']","['Na', 'K', 'Na', 'K', 'Cs']","['Sb', 'Sb', 'Ca', 'Ca', 'Ca']"
5535,5535,51714,Cu1O8P2Sr2_51714.json,"['F', 'La', 'Ge', 'Cl', 'Nd']","['O', 'Sr', 'Cu', 'O', 'Sr']","['Cs', 'Rb', 'K', 'Si', 'Cu']","['Sr', 'Sr', 'Sr', 'P', 'Cu']"
5542,5542,170265,Ba1N2Si1_170265.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['Cs', 'Rb', 'K', 'Li', 'Zn']","['Ba', 'Ba', 'Ba', 'Si', 'Si']"
5548,5548,15836,Cu1Li1O4V1_15836.json,"['F', 'Cr', 'Ge', 'Si', 'Er']","['O', 'V', 'Cu', 'Li', 'Li']","['Si', 'Y', 'O', 'Cu', 'Tb']","['V', 'V', 'Li', 'Cu', 'V']"
5549,5549,52364,Br2Co1_52364.json,"['K', 'Ge', 'Sn', 'Fe', 'Rb']","['Br', 'Co', 'Co', 'Co', 'Br']","['O', 'S', 'Na', 'Li', 'O']","['Br', 'Br', 'Co', 'Co', 'Co']"
5550,5550,173944,Cl3K1Mn1_173944.json,"['Ba', 'Sr', 'Ca', 'Sc', 'Ir']","['K', 'K', 'K', 'Mn', 'Mn']","['O', 'Na', 'S', 'Li', 'O']","['Cl', 'Mn', 'Cl', 'Mn', 'K']"
5551,5551,171758,Mo3Na2O16Te3_171758.json,"['F', 'Ca', 'Sb', 'Cl', 'Er']","['O', 'Na', 'Na', 'O', 'Na']","['Na', 'K', 'Sb', 'Mg', 'Zn']","['Mo', 'Mo', 'Mo', 'Mo', 'Mo']"
5552,5552,82504,Al2O3_82504.json,"['F', 'Cl', 'Si', 'Se', 'Ge']","['O', 'O', 'Al', 'Al', 'Al']","['Li', 'Na', 'Mg', 'K', 'Tl']","['Al', 'Al', 'Al', 'Al', 'Al']"
5557,5557,260887,Cs1Fe1Mo2O8_260887.json,"['Ba', 'F', 'Sr', 'Cl', 'Sb']","['Cs', 'O', 'Cs', 'O', 'Fe']","['Na', 'Na', 'K', 'Sb', 'K']","['Mo', 'Fe', 'Mo', 'Mo', 'Fe']"
5560,5560,247302,Co2O7Sb2_247302.json,"['F', 'Mo', 'Cl', 'Ge', 'Sn']","['O', 'Sb', 'O', 'Co', 'Co']","['Na', 'K', 'Na', 'Fe', 'Ca']","['Sb', 'Sb', 'Co', 'Sb', 'Sb']"
5563,5563,170003,N4Si3_170003.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['Li', 'Zn', 'Be', 'Mg', 'Al']","['Si', 'Si', 'Si', 'Si', 'Si']"
5566,5566,186724,O3Sn1Ti1_186724.json,"['F', 'Mn', 'Ta', 'Cl', 'Co']","['O', 'Sn', 'Ti', 'O', 'Sn']","['Cs', 'Rb', 'K', 'Na', 'Zn']","['Sn', 'Sn', 'Sn', 'Ti', 'Ti']"
5567,5567,22187,As2Cd1Si1_22187.json,"['Cr', 'Si', 'Cr', 'Mn', 'Br']","['Si', 'Cd', 'Cd', 'Si', 'Si']","['Be', 'Al', 'B', 'Ga', 'Fe']","['Si', 'Si', 'Si', 'Si', 'Si']"
5569,5569,290109,Cl6K3Mn1Na1_290109.json,"['Ba', 'Sr', 'Ca', 'Sb', 'Er']","['K', 'K', 'Na', 'Na', 'Na']","['O', 'Na', 'S', 'Li', 'O']","['Cl', 'Mn', 'Cl', 'Mn', 'K']"
5573,5573,24059,Br1In1O1_24059.json,"['F', 'Cl', 'K', 'Rb', 'W']","['O', 'O', 'Br', 'Br', 'In']","['O', 'Na', 'S', 'K', 'Cs']","['Br', 'In', 'Br', 'In', 'In']"
5575,5575,79986,H12N6Rb2Sn1_79986.json,"['O', 'S', 'Ba', 'Se', 'F']","['N', 'N', 'Rb', 'N', 'N']","['Co', 'Cd', 'Li', 'Fe', 'Ca']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']"
5577,5577,167400,Cr2Mn1O4_167400.json,"['F', 'Cl', 'Sc', 'Sb', 'Ir']","['O', 'O', 'Mn', 'Cr', 'Mn']","['Na', 'Na', 'K', 'Mg', 'Li']","['Mn', 'Cr', 'Cr', 'Cr', 'Mn']"
5579,5579,52389,Cd1In2O4_52389.json,"['F', 'Cl', 'Ge', 'Sn', 'W']","['O', 'O', 'Cd', 'Cd', 'In']","['Na', 'K', 'Na', 'Cs', 'Mg']","['In', 'In', 'Cd', 'In', 'In']"
5581,5581,391259,Cs1Cu3Se4Ti1_391259.json,"['Ba', 'Zn', 'Hg', 'Sr', 'Ta']","['Cs', 'Cu', 'Cu', 'Cs', 'Ti']","['N', 'Na', 'Zn', 'Mn', 'O']","['Se', 'Ti', 'Ti', 'Ti', 'Cu']"
5584,5584,195944,Na1S2Y1_195944.json,"['Re', 'Ca', 'Sb', 'Er', 'W']","['Y', 'Na', 'Na', 'Na', 'Na']","['Na', 'K', 'Ca', 'N', 'Sr']","['Y', 'Y', 'Y', 'S', 'Y']"
5586,5586,154372,Fe2K4O5_154372.json,"['F', 'Ba', 'Sr', 'Cl', 'Ca']","['O', 'K', 'K', 'O', 'K']","['Na', 'K', 'Li', 'Ni', 'O']","['Fe', 'Fe', 'Fe', 'Fe', 'K']"
5589,5589,41650,Ba1F2_41650.json,"['La', 'Nd', 'Pr', 'Sm', 'Na']","['Ba', 'Ba', 'Ba', 'Ba', 'F']","['O', 'Cs', 'Rb', 'K', 'Tl']","['F', 'Ba', 'Ba', 'Ba', 'Ba']"
5590,5590,33513,Al1F7Mg1Na2_33513.json,"['Ca', 'Sb', 'Er', 'W', 'Ho']","['Na', 'Na', 'Na', 'Na', 'Na']","['O', 'Na', 'Li', 'Na', 'O']","['F', 'Mg', 'Al', 'Al', 'Mg']"
5591,5591,84567,O4Sb1V1_84567.json,"['F', 'Cr', 'Cl', 'Sb', 'Mo']","['O', 'V', 'O', 'Sb', 'V']","['Si', 'Pb', 'K', 'S', 'Y']","['V', 'Sb', 'Sb', 'Sb', 'V']"
5592,5592,39820,I4Ti1_39820.json,"['Ta', 'Nb', 'K', 'Cs', 'Sb']","['Ti', 'Ti', 'I', 'I', 'Ti']","['O', 'S', 'Na', 'Zn', 'Mn']","['I', 'I', 'Ti', 'Ti', 'Ti']"
5593,5593,2216,K2O3Sn2_2216.json,"['F', 'Ba', 'Mn', 'Sr', 'Cl']","['O', 'K', 'Sn', 'K', 'O']","['Cs', 'Rb', 'K', 'O', 'Tl']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']"
5596,5596,188625,Cu1Ga1O2_188625.json,"['F', 'Zn', 'Hg', 'Cl', 'Cu']","['O', 'Cu', 'Cu', 'O', 'Cu']","['Cs', 'Ba', 'Li', 'Na', 'O']","['Ga', 'Ga', 'Ga', 'Ga', 'Cu']"
5598,5598,84963,Cu1Fe1O3S1Sr2_84963.json,"['F', 'La', 'Zn', 'Hg', 'Cl']","['O', 'Sr', 'Cu', 'Cu', 'O']","['Cs', 'Na', 'Rb', 'K', 'K']","['Sr', 'Fe', 'Sr', 'Sr', 'Fe']"
5602,5602,656082,Ca2H6Ru1_656082.json,"['Ce', 'La', 'Nd', 'Sm', 'Th']","['Ca', 'Ca', 'Ca', 'Ca', 'Ca']","['Na', 'K', 'Tl', 'Rb', 'Cs']","['Ca', 'Ca', 'Ca', 'Ca', 'Ca']"
5607,5607,291214,S2Si1_291214.json,"['P', 'V', 'As', 'Cl', 'Br']","['Si', 'Si', 'Si', 'S', 'S']","['Li', 'Zn', 'N', 'Be', 'Mg']","['Si', 'Si', 'S', 'Si', 'Si']"
5608,5608,406392,B1Cl1N2Sr2_406392.json,"['O', 'S', 'Se', 'La', 'F']","['N', 'N', 'N', 'Sr', 'N']","['O', 'Cs', 'Rb', 'K', 'S']","['Cl', 'Sr', 'Sr', 'Sr', 'Cl']"
5610,5610,650248,Rh1Sb3_650248.json,"['W', 'Mo', 'Tc', 'Sn', 'Nb']","['Rh', 'Rh', 'Rh', 'Rh', 'Rh']","['Ni', 'Mg', 'Cu', 'Ge', 'Zn']","['Rh', 'Rh', 'Rh', 'Rh', 'Rh']"
5611,5611,411983,Cr2Li2N8O1Sr6_411983.json,"['O', 'S', 'Se', 'F', 'La']","['N', 'N', 'N', 'O', 'Sr']","['Cs', 'P', 'Zn', 'V', 'Si']","['Sr', 'Cr', 'Cr', 'Cr', 'Cr']"
5613,5613,35181,Nb1O2_35181.json,"['F', 'Cl', 'Nb', 'V', 'Ta']","['O', 'O', 'Nb', 'Nb', 'Nb']","['Fe', 'Mn', 'Mg', 'V', 'Sc']","['Nb', 'Nb', 'Nb', 'Nb', 'Nb']"
5616,5616,33722,Ge1O3Zn1_33722.json,"['F', 'Si', 'P', 'Ge', 'As']","['O', 'Zn', 'Ge', 'Zn', 'Ge']","['Na', 'Zn', 'Cu', 'Cd', 'Co']","['Zn', 'Ge', 'Zn', 'Ge', 'Ge']"
5617,5617,199,O2V1_199.json,"['F', 'Nb', 'Cl', 'Ta', 'Ru']","['O', 'V', 'O', 'V', 'V']","['Mg', 'Cd', 'Mn', 'Ni', 'Cu']","['V', 'V', 'V', 'V', 'V']"
5619,5619,413382,Ca3O1Si1_413382.json,"['Ca', 'Ce', 'Pr', 'Ce', 'Pr']","['O', 'Ca', 'Ca', 'O', 'O']","['Na', 'Ag', 'Hg', 'Li', 'F']","['Ca', 'Ca', 'Ca', 'Ca', 'Ca']"
5625,5625,425061,C1Li1N1S1_425061.json,"['O', 'S', 'Se', 'F', 'N']","['N', 'N', 'N', 'N', 'C']","['B', 'Al', 'Ag', 'La', 'Cu']","['C', 'C', 'C', 'C', 'C']"
5626,5626,92316,Li1N2Na5_92316.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['O', 'F', 'N', 'F', 'O']","['Li', 'Li', 'Li', 'Na', 'Na']"
5627,5627,183638,Al1N1_183638.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['Li', 'Na', 'Mg', 'K', 'Tl']","['Al', 'Al', 'Al', 'Al', 'Al']"
5632,5632,421141,Al1B1Ba1F2O3_421141.json,"['F', 'C', 'Cl', 'Si', 'N']","['O', 'B', 'O', 'Al', 'B']","['O', 'Cs', 'Rb', 'K', 'Li']","['F', 'Ba', 'Ba', 'Ba', 'Al']"
5634,5634,108857,Ag3N1O3Se1_108857.json,"['F', 'Cl', 'In', 'Ga', 'Ba']","['O', 'O', 'Ag', 'Ag', 'Ag']","['B', 'C', 'La', 'Ge', 'Sc']","['N', 'N', 'N', 'N', 'N']"
5638,5638,151883,Al1K1O2_151883.json,"['F', 'Ba', 'Sr', 'Cl', 'Si']","['O', 'K', 'K', 'O', 'Al']","['Li', 'Na', 'Mg', 'K', 'O']","['Al', 'Al', 'Al', 'Al', 'K']"
5639,5639,28745,Ag1Al1Se2_28745.json,"['In', 'Si', 'Ga', 'Ba', 'Mg']","['Ag', 'Al', 'Ag', 'Ag', 'Ag']","['Li', 'Na', 'O', 'N', 'Mg']","['Al', 'Al', 'Ag', 'Se', 'Al']"
5640,5640,619869,Cd1Ga2O4_619869.json,"['F', 'Cl', 'Ge', 'Sn', 'Cr']","['O', 'O', 'Cd', 'Cd', 'Cd']","['Cs', 'Na', 'Ba', 'Li', 'Na']","['Ga', 'Cd', 'Ga', 'Ga', 'Ga']"
5641,5641,30371,Cd1Mo1O4_30371.json,"['F', 'Cl', 'Ge', 'Sn', 'Cr']","['O', 'O', 'Cd', 'Cd', 'Cd']","['Na', 'K', 'Sb', 'Na', 'Mg']","['Mo', 'Mo', 'Mo', 'Cd', 'Mo']"
5646,5646,28909,Cr1O3Y1_28909.json,"['F', 'Re', 'Cl', 'Sb', 'V']","['O', 'Y', 'O', 'Cr', 'Y']","['Na', 'Na', 'K', 'Ca', 'K']","['Y', 'Cr', 'Y', 'Y', 'Cr']"
5647,5647,20345,Nb1O4Sb1_20345.json,"['F', 'Cl', 'W', 'Sb', 'Mo']","['O', 'O', 'Nb', 'Sb', 'Nb']","['Pb', 'K', 'S', 'Tl', 'Na']","['Sb', 'Sb', 'Sb', 'Sb', 'Nb']"
5649,5649,24386,Ba1Ga2Se4_24386.json,"['La', 'Se', 'Ge', 'Zr', 'Si']","['Ba', 'Ga', 'Ga', 'Ga', 'Ga']","['Cs', 'Rb', 'K', 'Cs', 'Ba']","['Ba', 'Ba', 'Ba', 'Ga', 'Ga']"
5650,5650,418314,Ag4O4Si1_418314.json,"['F', 'P', 'V', 'Cl', 'As']","['O', 'Si', 'Si', 'O', 'Si']","['Li', 'O', 'Zn', 'Be', 'Mg']","['Si', 'Ag', 'Si', 'Si', 'Si']"
5651,5651,26286,K1Nb1S2_26286.json,"['Ba', 'Sr', 'Cl', 'Ca', 'La']","['K', 'K', 'S', 'K', 'K']","['Rb', 'Tl', 'Cs', 'Nb', 'N']","['Nb', 'Nb', 'Nb', 'Nb', 'S']"
5652,5652,65697,Ag1C2N2Na1_65697.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['N', 'O', 'H', 'O', 'S']","['C', 'Ag', 'C', 'C', 'C']"
5655,5655,41885,K2Pd3S4_41885.json,"['Ba', 'Sr', 'Fe', 'Mn', 'Sc']","['K', 'K', 'Pd', 'Pd', 'Pd']","['Na', 'N', 'Cu', 'K', 'Li']","['Pd', 'S', 'Pd', 'Pd', 'Pd']"
5656,5656,262049,Ba2F1N1_262049.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['O', 'Cs', 'Rb', 'K', 'Tl']","['F', 'Ba', 'Ba', 'Ba', 'Ba']"
5659,5659,88387,Cd1O3V1_88387.json,"['F', 'Nb', 'Cl', 'Ge', 'Sn']","['O', 'V', 'O', 'Cd', 'Cd']","['Mg', 'Cd', 'Mn', 'Ni', 'Cu']","['V', 'V', 'V', 'V', 'V']"
5660,5660,79536,Cu2Na2S4Zr1_79536.json,"['Zn', 'Hg', 'Ca', 'Sb', 'Er']","['Cu', 'Cu', 'Na', 'Na', 'Na']","['Fe', 'Mn', 'Mn', 'Mg', 'V']","['Zr', 'Zr', 'Zr', 'Zr', 'Zr']"
5664,5664,642729,Mg1P1S3_642729.json,"['W', 'Cr', 'Cl', 'Sc', 'Sb']","['Mg', 'Mg', 'S', 'Mg', 'Mg']","['Na', 'O', 'N', 'Li', 'K']","['Mg', 'Mg', 'S', 'Mg', 'Mg']"
5669,5669,41165,Al2Ba1Te4_41165.json,"['Mn', 'Ge', 'Mo', 'Tc', 'Ti']","['Al', 'Al', 'Al', 'Al', 'Al']","['O', 'K', 'Be', 'Ag', 'Ni']","['Ba', 'Ba', 'Al', 'Ba', 'Al']"
5677,5677,22183,Cd1P2Sn1_22183.json,"['Sn', 'Hf', 'U', 'U', 'Zr']","['Cd', 'Cd', 'Sn', 'Cd', 'Cd']","['Ni', 'Mg', 'Cu', 'Co', 'Li']","['Sn', 'Sn', 'Sn', 'Sn', 'Sn']"
5680,5680,65462,Br4In1Na1_65462.json,"['Ca', 'Sb', 'Er', 'K', 'W']","['Na', 'Na', 'Na', 'Br', 'Na']","['O', 'Na', 'S', 'K', 'Cs']","['Br', 'In', 'Br', 'In', 'In']"
5681,5681,189937,Ba1Cd1F1P1_189937.json,"['Cd', 'Tl', 'Tl', 'Te', 'Mn']","['F', 'Cd', 'F', 'Cd', 'F']","['O', 'K', 'Ag', 'Tl', 'Li']","['Ba', 'Ba', 'Ba', 'Ba', 'Cd']"
5683,5683,23249,As2Cd2Sr1_23249.json,"['Tl', 'Ac', 'Te', 'Pb', 'La']","['Cd', 'Sr', 'Cd', 'Cd', 'Sr']","['Hg', 'Ag', 'F', 'Na', 'Li']","['Sr', 'Sr', 'Sr', 'Sr', 'Cd']"
5685,5685,262413,As3Sr2Zn2_262413.json,"['Zr', 'In', 'Hf', 'Sn', 'Pb']","['Zn', 'Zn', 'Zn', 'Zn', 'Zn']","['Ag', 'Li', 'Hg', 'Ag', 'Na']","['Sr', 'Zn', 'Sr', 'Sr', 'Sr']"
5686,5686,72395,F4Mn1Rb1_72395.json,"['Ba', 'Sr', 'Zr', 'Se', 'Er']","['Rb', 'Rb', 'Mn', 'Mn', 'Rb']","['O', 'Mn', 'Mg', 'Ni', 'Na']","['F', 'Mn', 'Mn', 'Mn', 'Mn']"
5687,5687,248689,Ba1Cr2O14P4_248689.json,"['F', 'Cl', 'Sb', 'La', 'Cr']","['O', 'O', 'Cr', 'Ba', 'P']","['Cs', 'Rb', 'K', 'Na', 'Si']","['Ba', 'Ba', 'Ba', 'Cr', 'P']"
5689,5689,409485,Br7Ga1Se1_409485.json,"['Nb', 'Br', 'Te', 'Ti', 'I']","['Ga', 'Se', 'Ga', 'Ga', 'Ga']","['Ni', 'Mg', 'Cu', 'Co', 'Li']","['Ga', 'Ga', 'Ga', 'Ga', 'Ga']"
5690,5690,56433,Ca1Cs1N3O6_56433.json,"['Ba', 'F', 'Sr', 'La', 'Cl']","['Cs', 'O', 'Cs', 'Ca', 'O']","['Na', 'K', 'Cs', 'Rb', 'Li']","['Ca', 'Ca', 'Ca', 'Ca', 'Ca']"
5691,5691,61117,F6K2Mn1Na1_61117.json,"['Ba', 'Zr', 'Se', 'Sr', 'Ca']","['K', 'Mn', 'Mn', 'K', 'Na']","['O', 'Mn', 'Mg', 'Ni', 'Na']","['F', 'Mn', 'Mn', 'Mn', 'Mn']"
5694,5694,636887,Ge2Li1N3_636887.json,"['O', 'S', 'Se', 'F', 'P']","['N', 'N', 'N', 'N', 'Ge']","['Zn', 'O', 'Cd', 'Co', 'Li']","['Ge', 'Li', 'Ge', 'Ge', 'Ge']"
5708,5708,28735,Al1Cu1Te2_28735.json,"['Zn', 'Zr', 'Zr', 'Co', 'In']","['Cu', 'Cu', 'Al', 'Cu', 'Cu']","['Zn', 'Li', 'Co', 'Mg', 'Fe']","['Al', 'Al', 'Al', 'Al', 'Al']"
5710,5710,247820,O12Te1Y6_247820.json,"['F', 'Re', 'Cl', 'V', 'Ru']","['O', 'Y', 'O', 'Y', 'Y']","['Na', 'Re', 'Ir', 'Co', 'Y']","['Y', 'Te', 'Te', 'Te', 'Te']"
5712,5712,41486,B1N1_41486.json,"['O', 'S', 'Se', 'F', 'C']","['N', 'N', 'N', 'N', 'B']","['Ag', 'Ba', 'Ni', 'Cu', 'Zn']","['B', 'B', 'B', 'B', 'B']"
5713,5713,25651,Cd1In2Te4_25651.json,"['Tl', 'Te', 'Te', 'Pb', 'Pb']","['Cd', 'Cd', 'In', 'Cd', 'In']","['Cd', 'Mn', 'Fe', 'Hg', 'Zn']","['In', 'In', 'In', 'In', 'In']"
