,Unnamed: 0,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
3634,3634,423787,Al2As4Sr3_423787.json,"['Mn', 'Ge', 'Mo', 'Tc', 'Ti']","['Al', 'Al', 'Al', 'Al', 'Al']","['Hg', 'Ag', 'Be', 'F', 'Na']","['Sr', 'Sr', 'Al', 'Sr', 'Sr']"
3635,3635,14208,Cl2Ni1_14208.json,"['Fe', 'Cr', 'Sn', 'W', 'Sc']","['Ni', 'Ni', 'Ni', 'Ni', 'Ni']","['O', 'Na', 'S', 'Li', 'K']","['Cl', 'Ni', 'Cl', 'Ni', 'Ni']"
3639,3639,153174,Ca1O3Ti1_153174.json,"['F', 'La', 'Ta', 'Cl', 'Nd']","['O', 'Ca', 'Ti', 'O', 'Ca']","['Na', 'K', 'Cs', 'Na', 'Zn']","['Ca', 'Ca', 'Ca', 'Ti', 'Ti']"
3641,3641,94282,F2Mg1_94282.json,"['W', 'Cr', 'Sc', 'Sb', 'Mo']","['Mg', 'Mg', 'Mg', 'Mg', 'Mg']","['O', 'Na', 'O', 'Li', 'K']","['F', 'Mg', 'Mg', 'Mg', 'Mg']"
3642,3642,10219,Fe1Na1O6Si2_10219.json,"['F', 'P', 'Ca', 'Sb', 'V']","['O', 'Si', 'Na', 'Na', 'Si']","['Na', 'Li', 'K', 'Zn', 'Li']","['Fe', 'Si', 'Fe', 'Si', 'Fe']"
3643,3643,281723,Cs1Ga1S3_281723.json,"['Nb', 'Te', 'Ti', 'I', 'W']","['Ga', 'Ga', 'Ga', 'Ga', 'Ga']","['Ni', 'Mg', 'Cu', 'Co', 'Li']","['Ga', 'Ga', 'Ga', 'Ga', 'Ga']"
3644,3644,62029,Al1Cl8Nb1_62029.json,"['W', 'Si', 'K', 'Mo', 'Rb']","['Nb', 'Al', 'Cl', 'Nb', 'Cl']","['O', 'S', 'Li', 'Na', 'Na']","['Cl', 'Cl', 'Al', 'Al', 'Nb']"
3646,3646,418760,Cl2Cs2Mn1O6V2_418760.json,"['Ba', 'F', 'Sr', 'Cr', 'Cl']","['Cs', 'O', 'Cs', 'V', 'O']","['O', 'Si', 'Na', 'Y', 'S']","['Cl', 'V', 'Mn', 'V', 'Cl']"
3647,3647,651361,S2V1_651361.json,"['Nb', 'Cl', 'Ta', 'Br', 'I']","['V', 'S', 'V', 'S', 'S']","['Mg', 'Cd', 'Mn', 'Ni', 'Cu']","['V', 'V', 'V', 'V', 'V']"
3648,3648,188534,Ba1Cr1O4_188534.json,"['F', 'Cl', 'La', 'Cl', 'Nd']","['O', 'O', 'Ba', 'Cr', 'Ba']","['Cs', 'Rb', 'P', 'Zn', 'V']","['Ba', 'Ba', 'Cr', 'Cr', 'Cr']"
3649,3649,10346,Cd1Cr1F6_10346.json,"['Bi', 'As', 'Ge', 'Sn', 'Cr']","['Cr', 'Cr', 'Cd', 'Cd', 'Cd']","['O', 'Cd', 'Co', 'Ca', 'Na']","['F', 'Cr', 'Cr', 'Cr', 'Cd']"
3650,3650,610971,As1Na1_610971.json,"['Hg', 'Ce', 'Bi', 'La', 'Ca']","['Na', 'Na', 'Na', 'Na', 'Na']","['F', 'O', 'Cl', 'S', 'Br']","['Na', 'Na', 'Na', 'Na', 'Na']"
3653,3653,262083,B2H8Mg1_262083.json,"['Sc', 'Pa', 'In', 'U', 'Pb']","['Mg', 'Mg', 'Mg', 'Mg', 'Mg']","['Li', 'Na', 'Ag', 'O', 'K']","['Mg', 'Mg', 'Mg', 'Mg', 'Mg']"
3654,3654,161310,O2Si1_161310.json,"['F', 'P', 'V', 'Cl', 'As']","['O', 'Si', 'Si', 'O', 'Si']","['Li', 'Zn', 'Be', 'Mg', 'Al']","['Si', 'Si', 'Si', 'Si', 'Si']"
3655,3655,154344,Ba1O3Ti1_154344.json,"['F', 'Ta', 'Cl', 'Nb', 'Sb']","['O', 'Ti', 'O', 'Ti', 'Ti']","['Cs', 'Rb', 'K', 'Na', 'Zn']","['Ba', 'Ba', 'Ba', 'Ti', 'Ti']"
3657,3657,9064,Al1Cl7Se1_9064.json,"['Si', 'K', 'Rb', 'Na', 'Se']","['Al', 'Cl', 'Cl', 'Cl', 'Al']","['O', 'La', 'Nd', 'Pr', 'Ca']","['Cl', 'Se', 'Se', 'Se', 'Se']"
3659,3659,648723,Pd3Rb2S4_648723.json,"['Ba', 'Sr', 'Fe', 'Mn', 'Sc']","['Rb', 'Rb', 'Pd', 'Pd', 'Pd']","['Na', 'N', 'Cu', 'K', 'Li']","['Pd', 'S', 'Pd', 'Pd', 'Pd']"
3661,3661,14159,Na2Ni1O2_14159.json,"['F', 'Ca', 'Sb', 'Cl', 'Er']","['O', 'Na', 'Na', 'O', 'Na']","['Na', 'Li', 'K', 'F', 'O']","['Ni', 'Ni', 'Ni', 'Na', 'Na']"
3663,3663,69656,Cu1F3Rb1_69656.json,"['Ba', 'Sr', 'Ge', 'Si', 'Er']","['Rb', 'Rb', 'Cu', 'Cu', 'Rb']","['O', 'Cu', 'Li', 'Na', 'Cl']","['F', 'Cu', 'Cu', 'Cu', 'Rb']"
3664,3664,25765,Nb2O5_25765.json,"['F', 'Cl', 'W', 'Mo', 'Br']","['O', 'O', 'Nb', 'Nb', 'O']","['Na', 'Ti', 'Rb', 'Ca', 'Sn']","['Nb', 'Nb', 'Nb', 'Nb', 'Nb']"
3667,3667,72384,Na4Se4Sn1_72384.json,"['Ca', 'Sb', 'Er', 'Ta', 'W']","['Na', 'Na', 'Na', 'Sn', 'Na']","['N', 'Co', 'Cd', 'Li', 'Fe']","['Se', 'Sn', 'Sn', 'Sn', 'Sn']"
3669,3669,78698,Ni1O2_78698.json,"['F', 'Cl', 'Ru', 'I', 'Sb']","['O', 'O', 'Ni', 'Ni', 'Ni']","['Sr', 'Cd', 'Pb', 'Cr', 'N']","['Ni', 'Ni', 'Ni', 'Ni', 'O']"
3670,3670,68143,Ag1P2Se6V1_68143.json,"['Re', 'In', 'Ga', 'Ba', 'Zr']","['V', 'Ag', 'Ag', 'Ag', 'V']","['Na', 'Rb', 'O', 'K', 'N']","['V', 'V', 'Ag', 'V', 'Se']"
3673,3673,71010,Fe1In1O3_71010.json,"['F', 'Cl', 'Sb', 'W', 'Sb']","['O', 'O', 'Fe', 'In', 'In']","['Na', 'Na', 'K', 'K', 'Cs']","['In', 'Fe', 'In', 'Fe', 'In']"
3678,3678,22106,Br2Ni1_22106.json,"['Fe', 'K', 'Cr', 'Sn', 'Rb']","['Ni', 'Br', 'Ni', 'Ni', 'Br']","['O', 'Na', 'S', 'Li', 'K']","['Br', 'Ni', 'Br', 'Ni', 'Ni']"
3682,3682,155330,Mn1Na1O2_155330.json,"['F', 'Zr', 'Se', 'Ca', 'Sb']","['O', 'Mn', 'Mn', 'Na', 'Na']","['Mn', 'Mg', 'Ni', 'Na', 'Zn']","['Mn', 'Mn', 'Mn', 'Mn', 'Mn']"
3687,3687,602244,Rb1Sb1Se2_602244.json,"['Ba', 'Sr', 'Sb', 'Er', 'Ho']","['Rb', 'Rb', 'Sb', 'Rb', 'Rb']","['Pb', 'K', 'S', 'Tl', 'In']","['Sb', 'Sb', 'Sb', 'Sb', 'Sb']"
