,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
2879,411511,Cl1N1O1_411511.json,"[Species F-, Species Cl-, Species K+, Species Rb+, Species Na+]","[Species O2-, Species O2-, Species Cl-, Species Cl-, Species Cl-]","[Species O2-, Species S2-, Species N3-, Species Se2-, Species N3-]","[Species Cl-, Species Cl-, Species O2-, Species Cl-, Species Cl-]"
2880,26518,Ag1Bi1Se2_26518.json,"[Species In3+, Species Ga3+, Species Ba2+, Species Mg2+, Species W6+]","[Species Ag+, Species Ag+, Species Ag+, Species Ag+, Species Ag+]","[Species O2-, Species N3-, Species Na+, Species K+, Species Rb+]","[Species Ag+, Species Se2-, Species Bi3+, Species Bi3+, Species Bi3+]"
2881,190421,Al1P1_190421.json,"[Species Mn4+, Species Ge4+, Species Mo6+, Species Tc7+, Species Ti4+]","[Species Al3+, Species Al3+, Species Al3+, Species Al3+, Species Al3+]","[Species Be2+, Species Ni2+, Species Mg2+, Species Cu2+, Species Co2+]","[Species Al3+, Species Al3+, Species Al3+, Species Al3+, Species Al3+]"
2882,300132,In1K2Na1P2_300132.json,"[Species Hg2+, Species Cd2+, Species Tl3+, Species Mn2+, Species Te4+]","[Species Na+, Species Na+, Species Na+, Species Na+, Species Na+]","[Species Na+, Species Ag+, Species Hg2+, Species Cd2+, Species F-]","[Species In3+, Species In3+, Species In3+, Species In3+, Species Na+]"
2883,39196,Mn2O4Zn1_39196.json,"[Species F-, Species Si4+, Species Zr4+, Species Se4+, Species Ge4+]","[Species O2-, Species Zn2+, Species Mn3+, Species Mn3+, Species Zn2+]","[Species Na+, Species Cu+, Species Mn2+, Species Mg2+, Species K+]","[Species Zn2+, Species Zn2+, Species Mn3+, Species Mn3+, Species Zn2+]"
2884,30998,B2Ca1O6Sn1_30998.json,"[Species F-, Species C4+, Species La3+, Species Cl-, Species Ta5+]","[Species O2-, Species B3+, Species Ca2+, Species O2-, Species Sn4+]","[Species Na+, Species K+, Species Cs+, Species Co2+, Species Cd2+]","[Species Ca2+, Species Ca2+, Species Ca2+, Species Sn4+, Species Sn4+]"
2885,73937,Ba2In2O5_73937.json,"[Species F-, Species Cl-, Species W6+, Species Sb5+, Species La3+]","[Species O2-, Species O2-, Species In3+, Species In3+, Species Ba2+]","[Species Cs+, Species Rb+, Species Na+, Species K+, Species K+]","[Species Ba2+, Species Ba2+, Species In3+, Species Ba2+, Species In3+]"
2886,82557,Au6Cs4S5_82557.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2887,16829,As2Cu1O4_16829.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2888,24493,Fe2Mg1O4_24493.json,"[Species F-, Species Cl-, Species W6+, Species Cr3+, Species Sb5+]","[Species O2-, Species O2-, Species Mg2+, Species Mg2+, Species Fe3+]","[Species Na+, Species Na+, Species K+, Species O2-, Species Li+]","[Species Mg2+, Species Fe3+, Species Fe3+, Species Mg2+, Species Mg2+]"
2889,654971,B4C1_654971.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2890,181147,Fe1Mn2O6Sb1_181147.json,"[Species F-, Species Mo6+, Species Cl-, Species Sb5+, Species Sc3+]","[Species O2-, Species Sb5+, Species O2-, Species Fe3+, Species Mn2+]","[Species Na+, Species K+, Species Na+, Species Na+, Species K+]","[Species Sb5+, Species Sb5+, Species Mn2+, Species Fe3+, Species Fe3+]"
2891,80003,D4Na2Pd1_80003.json,"[Species Bi3+, Species La3+, Species Ce3+, Species Hg2+, Species Pr3+]","[Species Na+, Species Na+, Species Na+, Species Na+, Species Na+]","[Species O2-, None, None, None, None]","[Species Na+, None, None, None, None]"
2892,42457,Mg1Si1Sr1_42457.json,"[Species Hf4+, Species Sn4+, Species Zr4+, Species U6+, Species In3+]","[Species Mg2+, Species Mg2+, Species Mg2+, Species Mg2+, Species Mg2+]","[Species Li+, Species Na+, Species Ag+, Species F-, Species K+]","[Species Mg2+, Species Mg2+, Species Mg2+, Species Mg2+, Species Mg2+]"
2893,171708,Al1Bi1O3_171708.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2894,412110,Cl5Sb1_412110.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2895,96753,Hg3O6S1_96753.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
2896,247256,Li8N2Se1_247256.json,"[Species O2-, Species S2-, Species Se2-, Species F-, Species Li+]","[Species N3-, Species N3-, Species N3-, Species N3-, Species N3-]","[Species O2-, Species N3-, Species F-, Species N3-, Species Cl-]","[Species Li+, Species Se2-, Species Li+, Species Li+, Species Li+]"
2897,415572,Ag2C4Cs1Cu1N4_415572.json,"[Species O2-, Species Ba2+, Species S2-, Species Se2-, Species F-]","[Species N3-, Species Cs+, Species N3-, Species N3-, Species N3-]","[Species N3-, Species O2-, Species O2-, Species H+, Species O2-]","[Species C2+, Species Ag+, Species Cu+, Species C2+, Species C2+]"
